description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
IC VREF SERIES 3.3V SOT23-6,Power Management (PMIC),MCP1501T-33E/CHYCT-ND,MCP1501T-33E/CHY,Microchip Technology,25,£0.48320,£12.08,118610462,2025-12-02T10:58:52.794Z,-,Active,Cut Tape (CT),,,,,"{""Reference Type"": ""Series"", ""Output Type"": ""Fixed"", ""Voltage - Output (Min/Fixed)"": ""3.3V"", ""Current - Output"": ""20 mA"", ""Tolerance"": ""±0.1%"", ""Temperature Coefficient"": ""50ppm/°C"", ""Noise - 0.1Hz to 10Hz"": ""-"", ""Noise - 10Hz to 10kHz"": ""-"", ""Voltage - Input"": ""3.5V ~ 5.5V"", ""Current - Supply"": ""550µA"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SOT-23-6"", ""Supplier Device Package"": ""SOT-23-6""}"
XTAL OSC XO 16.0000MHZ CMOS SMD,Oscillators,114-SG-210STF16.0000ML0CT-ND,SG-210STF 16.0000ML0,EPSON,25,£0.45960,£11.49,118610462,2025-12-02T10:58:52.794Z,SG-210STF,Active,Cut Tape (CT),,,,,"{""Base Resonator"": ""Crystal"", ""Type"": ""XO (Standard)"", ""Frequency"": ""16 MHz"", ""Function"": ""Standby (Power Down)"", ""Output"": ""CMOS"", ""Voltage - Supply"": ""1.6V ~ 3.6V"", ""Frequency Stability"": ""±50ppm"", ""Absolute Pull Range (APR)"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Current - Supply (Max)"": ""1.8mA"", ""Ratings"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""4-SMD, No Lead"", ""Supplier Device Package"": ""4-SMD (2.5x2)"", ""Size / Dimension"": ""0.098\"" L x 0.079\"" W (2.50mm x 2.00mm)"", ""Height - Seated (Max)"": ""0.035\"" (0.90mm)"", ""Current - Supply (Disable) (Max)"": ""2.7µA""}"
XTAL OSC XO 8.0000MHZ CMOS SMD,Oscillators,SER3956CT-ND,SG5032CAN 8.000000M-TJGA3,EPSON,10,£1.56100,£15.61,118610462,2025-12-02T10:58:52.794Z,SG5032CAN,Active,Cut Tape (CT),,,,,"{""Base Resonator"": ""Crystal"", ""Type"": ""XO (Standard)"", ""Frequency"": ""8 MHz"", ""Function"": ""Standby (Power Down)"", ""Output"": ""CMOS"", ""Voltage - Supply"": ""1.6V ~ 3.6V"", ""Frequency Stability"": ""±50ppm"", ""Absolute Pull Range (APR)"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Current - Supply (Max)"": ""3mA"", ""Ratings"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""4-SMD, No Lead"", ""Supplier Device Package"": ""4-SMD (5x3.2)"", ""Size / Dimension"": ""0.197\"" L x 0.126\"" W (5.00mm x 3.20mm)"", ""Height - Seated (Max)"": ""0.051\"" (1.30mm)"", ""Current - Supply (Disable) (Max)"": ""2.7µA""}"
IC RTC CLOCK/CALENDAR I2C 8SO,Clock/Timing,568-12403-1-ND,PCF85063AT/AY,NXP USA Inc.,50,£0.45280,£22.64,118610462,2025-12-02T10:58:52.794Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Clock/Calendar"", ""Features"": ""Alarm, Leap Year, Square Wave Output"", ""Memory Size"": ""-"", ""Time Format"": ""HH:MM:SS (12/24 hr)"", ""Date Format"": ""YY-MM-DD-dd"", ""Interface"": ""I2C, 2-Wire Serial"", ""Voltage - Supply"": ""0.9V ~ 5.5V"", ""Voltage - Supply, Battery"": ""-"", ""Current - Timekeeping (Max)"": ""0.6µA @ 3.3V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SO""}"
SWITCH TACTILE SPST-NO 0.05A 32V,Tactile Switches,401-1775-1-ND,KSC401J 50SH LFS,C&K,25,£0.39640,£9.91,118566085,2025-12-01T11:03:00.443Z,KSC,Active,Cut Tape (CT),,,,,"{""Circuit"": ""SPST-NO"", ""Switch Function"": ""Off-Mom"", ""Contact Rating @ Voltage"": ""0.05A @ 32VDC"", ""Actuator Type"": ""Standard"", ""Mounting Type"": ""Surface Mount"", ""Actuator Height off PCB, Vertical"": ""5.20mm"", ""Actuator Length, Right Angle"": ""-"", ""Actuator Orientation"": ""Top Actuated"", ""Termination Style"": ""J Lead"", ""Outline"": ""6.20mm x 6.20mm"", ""Illumination"": ""Non-Illuminated"", ""Illumination Type, Color"": ""-"", ""Illumination Voltage (Nominal)"": ""-"", ""Operating Force"": ""145gf"", ""Ingress Protection"": ""IP67 - Dust Tight, Waterproof"", ""Features"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Actuator Material"": ""-"", ""Switch Travel"": ""0.50mm"", ""Mechanical Life"": ""5,000,000 Cycles""}"
SWITCH DETECTOR SPST-NO 0.01A 5V,Limit Switches,P10863S-ND,ESE-11SH2C,Panasonic Electronic Components,50,£0.26920,£13.46,118566085,2025-12-01T11:03:00.443Z,ESE11,Active,Bulk,,,,,"{""Circuit"": ""SPST-NO"", ""Switch Function"": ""Off-Mom"", ""Current Rating (Amps)"": ""10mA (DC)"", ""Voltage Rating - DC"": ""5 V"", ""Actuator Type"": ""Overtravel Plunger"", ""Mounting Type"": ""Through Hole, Right Angle"", ""Termination Style"": ""PC Pin"", ""Ingress Protection"": ""-"", ""Features"": ""-"", ""Operating Force"": ""35gf"", ""Release Force"": ""-"", ""Operating Position"": ""0.183\"" (4.65mm)"", ""Pretravel"": ""-"", ""Differential Travel"": ""-"", ""Overtravel"": ""-"", ""Mechanical Life"": ""50,000 Cycles"", ""Electrical Life"": ""50,000 Cycles"", ""Operating Temperature"": ""-10°C ~ 70°C""}"
IC SRAM 64KBIT SPI 20MHZ 8SOIC,Memory,23K640T-I/SNCT-ND,23K640T-I/SN,Microchip Technology,50,£0.62000,£31.00,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Volatile"", ""Memory Format"": ""SRAM"", ""Technology"": ""SRAM"", ""Memory Size"": ""64Kbit"", ""Memory Organization"": ""8K x 8"", ""Memory Interface"": ""SPI"", ""Clock Frequency"": ""20 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC SUPERVISOR 1 CHANNEL SOT23,Power Management (PMIC),APX803L20-29SA-7DICT-ND,APX803L20-29SA-7,Diodes Incorporated,100,£0.09540,£9.54,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Simple Reset/Power-On Reset"", ""Number of Voltages Monitored"": ""1"", ""Voltage - Threshold"": ""2.9V"", ""Output"": ""Open Drain or Open Collector"", ""Reset"": ""Active Low"", ""Reset Timeout"": ""143ms Minimum"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3"", ""Supplier Device Package"": ""SOT-23-3""}"
IC REG LINEAR 3V 150MA SC-70-5,Power Management (PMIC),576-3191-1-ND,MIC5365-3.0YC5-TR,Microchip Technology,100,£0.09210,£9.21,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""Output Configuration"": ""Positive"", ""Output Type"": ""Fixed"", ""Number of Regulators"": ""1"", ""Voltage - Input (Max)"": ""5.5V"", ""Voltage - Output (Min/Fixed)"": ""3V"", ""Voltage - Output (Max)"": ""-"", ""Voltage Dropout (Max)"": ""0.31V @ 150mA"", ""Current - Output"": ""150mA"", ""Current - Quiescent (Iq)"": ""39 µA"", ""PSRR"": ""80dB ~ 65dB (1kHz ~ 10kHz)"", ""Control Features"": ""Enable"", ""Protection Features"": ""Over Current, Over Temperature"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""5-TSSOP, SC-70-5, SOT-353"", ""Supplier Device Package"": ""SC-70-5""}"
MOSFET P-CH 50V 130MA SOT23-3,Transistors,BSS84CT-ND,BSS84,onsemi,1,£0.26000,£0.26,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""P-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""50 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""130mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""4.5V, 10V"", ""Rds On (Max) @ Id, Vgs"": ""8Ohm @ 150mA, 10V"", ""Vgs(th) (Max) @ Id"": ""2V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""1.3 nC @ 5 V"", ""Vgs (Max)"": ""±20V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""73 pF @ 25 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""225mW (Ta)"", ""Operating Temperature"": ""-55°C ~ 155°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3 (TO-236)"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
MOSFET P-CH 50V 130MA SOT23-3,Transistors,BSS84CT-ND,BSS84,onsemi,100,£0.09940,£9.94,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""P-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""50 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""130mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""4.5V, 10V"", ""Rds On (Max) @ Id, Vgs"": ""8Ohm @ 150mA, 10V"", ""Vgs(th) (Max) @ Id"": ""2V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""1.3 nC @ 5 V"", ""Vgs (Max)"": ""±20V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""73 pF @ 25 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""225mW (Ta)"", ""Operating Temperature"": ""-55°C ~ 155°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3 (TO-236)"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
SENSOR PHOTO 630NM RADIAL,Optical Sensors,1080-1019-ND,ALS-PT204-6C/L177,Everlight Electronics Co Ltd,50,£0.25100,£12.55,118566085,2025-12-01T11:03:00.443Z,-,Active,Bag,,,,,"{""Voltage - Collector Emitter Breakdown (Max)"": ""5.5 V"", ""Current - Dark (Id) (Max)"": ""100 nA"", ""Wavelength"": ""630nm"", ""Viewing Angle"": ""-"", ""Mounting Type"": ""Through Hole"", ""Orientation"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Package / Case"": ""Radial""}"
SENSOR PHOTO 630NM 2SMD,Optical Sensors,1080-1244-1-ND,ALS-PT19-315C/L177/TR8,Everlight Electronics Co Ltd,100,£0.13410,£13.41,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""Voltage - Collector Emitter Breakdown (Max)"": ""5.5 V"", ""Current - Dark (Id) (Max)"": ""100 nA"", ""Wavelength"": ""630nm"", ""Viewing Angle"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Orientation"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Package / Case"": ""2-SMD, No Lead""}"
SENSOR OPT 630NMAMB 0603,Optical Sensors,1830-IN-S63DTLSCT-ND,IN-S63DTLS,Inolux,20,£0.22700,£4.54,118566085,2025-12-01T11:03:00.443Z,-,Active,Cut Tape (CT),,,,,"{""Type"": ""Ambient"", ""Wavelength"": ""630nm"", ""Proximity Detection"": ""No"", ""Output Type"": ""Analog"", ""Voltage - Supply"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603""}"
