description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
MOSFET P-CH 50V 130MA SOT23-3,Transistors,BSS84CT-ND,BSS84,onsemi,100,£0.09940,£9.94,118554515,2025-12-01T10:16:17.324Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""P-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""50 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""130mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""4.5V, 10V"", ""Rds On (Max) @ Id, Vgs"": ""8Ohm @ 150mA, 10V"", ""Vgs(th) (Max) @ Id"": ""2V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""1.3 nC @ 5 V"", ""Vgs (Max)"": ""±20V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""73 pF @ 25 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""225mW (Ta)"", ""Operating Temperature"": ""-55°C ~ 155°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3 (TO-236)"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
MOSFET N-CH 60V 200MA SOT23,Transistors,T2N7002AKLMCT-ND,"T2N7002AK,LM",Toshiba Semiconductor and Storage,100,£0.03990,£3.99,118522807,2025-11-28T20:49:05.986Z,U-MOSVII-H,Active,Cut Tape (CT),,,,,"{""FET Type"": ""N-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""60 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""200mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""4.5V, 10V"", ""Rds On (Max) @ Id, Vgs"": ""3.9Ohm @ 100mA, 10V"", ""Vgs(th) (Max) @ Id"": ""2.1V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""0.35 nC @ 4.5 V"", ""Vgs (Max)"": ""±20V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""17 pF @ 10 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""320mW (Ta)"", ""Operating Temperature"": ""150°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
MOSFET N-CH 60V 200MA SOT23,Transistors,T2N7002AKLMCT-ND,"T2N7002AK,LM",Toshiba Semiconductor and Storage,50,£0.06500,£3.25,118522807,2025-11-28T20:49:05.986Z,U-MOSVII-H,Active,Cut Tape (CT),,,,,"{""FET Type"": ""N-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""60 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""200mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""4.5V, 10V"", ""Rds On (Max) @ Id, Vgs"": ""3.9Ohm @ 100mA, 10V"", ""Vgs(th) (Max) @ Id"": ""2.1V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""0.35 nC @ 4.5 V"", ""Vgs (Max)"": ""±20V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""17 pF @ 10 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""320mW (Ta)"", ""Operating Temperature"": ""150°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
USBPOWERSWITCHTSOT25T&R3K,Power Management (PMIC),31-AP22818AKCWT-7CT-ND,AP22818AKCWT-7,Diodes Incorporated,100,£0.10670,£10.67,118522807,2025-11-28T20:49:05.986Z,-,Active,Cut Tape (CT),,,,,"{""Switch Type"": ""USB Switch"", ""Number of Outputs"": ""1"", ""Ratio - Input:Output"": ""1:1"", ""Output Configuration"": ""High Side"", ""Output Type"": ""N/P-Channel"", ""Interface"": ""On/Off"", ""Voltage - Load"": ""2.7V ~ 5.5V"", ""Voltage - Supply (Vcc/Vdd)"": ""Not Required"", ""Current - Output (Max)"": ""2A"", ""Rds On (Typ)"": ""75mOhm"", ""Input Type"": ""Non-Inverting"", ""Features"": ""Load Discharge, Status Flag"", ""Fault Protection"": ""Current Limiting (Fixed), Over Temperature, Reverse Current, Short Circuit, UVLO"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""TSOT-25"", ""Package / Case"": ""SOT-23-5 Thin, TSOT-23-5""}"
IC MCU 32BIT 256KB FLASH 64LQFP,Embedded,497-STM32U083RCT6-ND,STM32U083RCT6,STMicroelectronics,10,£1.97200,£19.72,118522807,2025-11-28T20:49:05.986Z,STM32U0,Active,Tray,ARM® Cortex®-M0+,Cortex-M0+,56MHz,256KB (256K x 8),"{""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART, USB"", ""Peripherals"": ""Brown-out Detect/Reset, CapSense, Crypto - AES, DMA, LCD, LVD, PWM, Temp Sensor, TRNG, WDT"", ""Number of I/O"": ""53"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""40K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 16x12b SAR; D/A 1x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""64-LQFP (10x10)"", ""Package / Case"": ""64-LQFP""}"
IC MCU 32BIT 4MB FLASH 100LQFP,Embedded,497-STM32U5A5VJT6Q-ND,STM32U5A5VJT6Q,STMicroelectronics,10,£9.26700,£92.67,118522807,2025-11-28T20:49:05.986Z,STM32U5,Active,Tray,ARM® Cortex®-M33,Cortex-M33,160MHz,4MB (4M x 8),"{""Connectivity"": ""CANbus, EBI/EMI, FIFO, I2C, IrDA, LINbus, MMC/SD, SPI, UART/USART/USB"", ""Peripherals"": ""Brown-out Detect/Reset, Crypto - AES, DMA, PWM, SHA, Temp Sensor, TRNG, WDT"", ""Number of I/O"": ""79"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""2.5M x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 18x12/14b SAR; D/A 2x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""100-LQFP (14x14)"", ""Package / Case"": ""100-LQFP""}"
CAP CER 0.1UF 50V X7R 0603,Ceramic Capacitors,399-C0603C104K5RACTUCT-ND,C0603C104K5RACTU,KEMET,300,£0.00800,£2.40,118522807,2025-11-28T20:49:05.986Z,SMD Comm X7R,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""0.1 µF"", ""Tolerance"": ""±10%"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""X7R"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""Bypass, Decoupling"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.034\"" (0.87mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CAP CER 10UF 16V X5R 0805,Ceramic Capacitors,1276-1096-1-ND,CL21A106KOQNNNE,Samsung Electro-Mechanics,300,£0.01470,£4.41,118522807,2025-11-28T20:49:05.986Z,CL,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""10 µF"", ""Tolerance"": ""±10%"", ""Voltage - Rated"": ""16V"", ""Temperature Coefficient"": ""X5R"", ""Operating Temperature"": ""-55°C ~ 85°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0805 (2012 Metric)"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.055\"" (1.40mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
FERRITE BEAD 120 OHM 0603 1LN,Ferrite Beads and Chips,240-2367-1-ND,LI0603G121R-10,Laird-Signal Integrity Products,300,£0.02124,£6.37,118522807,2025-11-28T20:49:05.986Z,0603,Active,Cut Tape (CT),,,,,"{""Filter Type"": ""Power, Signal Line"", ""Number of Lines"": ""1"", ""Impedance @ Frequency"": ""120 Ohms @ 100 MHz"", ""Current Rating (Max)"": ""1A"", ""DC Resistance (DCR) (Max)"": ""200mOhm"", ""Ratings"": ""-"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Mounting Type"": ""Surface Mount"", ""Height (Max)"": ""0.031\"" (0.80mm)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)""}"
CRYSTAL 24.000MHZ 8PF SMD,Crystals,2151-R2520-24.000-8-1010-EXT-TR-NS1CT-ND,R2520-24.000-8-1010-EXT-TR-NS1,Raltron Electronics,50,£0.12860,£6.43,118522807,2025-11-28T20:49:05.986Z,R2520,Active,Cut Tape (CT),,,,,"{""Type"": ""MHz Crystal"", ""Frequency"": ""24 MHz"", ""Frequency Stability"": ""±10ppm"", ""Frequency Tolerance"": ""±10ppm"", ""Load Capacitance"": ""8pF"", ""ESR (Equivalent Series Resistance)"": ""60 Ohms"", ""Operating Mode"": ""Fundamental"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Ratings"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""4-SMD, No Lead"", ""Size / Dimension"": ""0.098\"" L x 0.079\"" W (2.50mm x 2.00mm)"", ""Height - Seated (Max)"": ""0.030\"" (0.75mm)""}"
CAP CER 8PF 50V C0G 0603,Ceramic Capacitors,445-5043-1-ND,C1608C0G1H080D080AA,TDK Corporation,100,£0.02580,£2.58,118522807,2025-11-28T20:49:05.986Z,C,Not For New Designs,Cut Tape (CT),,,,,"{""Capacitance"": ""8 pF"", ""Tolerance"": ""±0.5pF"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""C0G, NP0"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""Low ESL"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.035\"" (0.90mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CRYSTAL 32.7680KHZ 7PF SMD,Crystals,2195-CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QCCT-ND,CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QC,Micro Crystal AG,50,£0.31680,£15.84,118522807,2025-11-28T20:49:05.986Z,CM9V,Active,Cut Tape (CT),,,,,"{""Type"": ""kHz Crystal (Tuning Fork)"", ""Frequency"": ""32.768 kHz"", ""Frequency Stability"": ""-"", ""Frequency Tolerance"": ""±20ppm"", ""Load Capacitance"": ""7pF"", ""ESR (Equivalent Series Resistance)"": ""90 kOhms"", ""Operating Mode"": ""Fundamental"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Ratings"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""2-SMD, No Lead"", ""Supplier Device Package"": ""2-SMD (1.6x1)"", ""Size / Dimension"": ""0.063\"" L x 0.039\"" W (1.60mm x 1.00mm)"", ""Height - Seated (Max)"": ""0.020\"" (0.50mm)""}"
IC MUX/DEMUX 4 X 1:2 16-TSSOP,Logic,296-9138-1-ND,SN74CBTLV3257PWR,Texas Instruments,25,£0.24720,£6.18,118522807,2025-11-28T20:49:05.986Z,74CBTLV,Active,Cut Tape (CT),,,,,"{""Type"": ""Multiplexer/Demultiplexer"", ""Circuit"": ""4 x 1:2"", ""Independent Circuits"": ""4"", ""Current - Output High, Low"": ""-"", ""Voltage Supply Source"": ""Single Supply"", ""Voltage - Supply"": ""2.3V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""16-TSSOP (0.173\"", 4.40mm Width)"", ""Supplier Device Package"": ""16-TSSOP""}"
RES 10K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,311-10.0KHRCT-ND,RC0603FR-0710KL,YAGEO,300,£0.00400,£1.20,118522807,2025-11-28T20:49:05.986Z,RC_L,Active,Cut Tape (CT),,,,,"{""Resistance"": ""10 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
RES 47K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,311-47.0KHRCT-ND,RC0603FR-0747KL,YAGEO,300,£0.00440,£1.32,118522807,2025-11-28T20:49:05.986Z,RC_L,Active,Cut Tape (CT),,,,,"{""Resistance"": ""47 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
TVS DIODE 3.6VWM 8.4VC 3X2SON,Transient Voltage Suppressors (TVS),296-48543-1-ND,ESD122DMXR,Texas Instruments,50,£0.47500,£23.75,118522807,2025-11-28T20:49:05.986Z,-,Active,Cut Tape (CT),,,,,"{""Type"": ""Zener"", ""Bidirectional Channels"": ""2"", ""Voltage - Reverse Standoff (Typ)"": ""3.6V (Max)"", ""Voltage - Breakdown (Min)"": ""5.1V"", ""Voltage - Clamping (Max) @ Ipp"": ""8.4V (Typ)"", ""Current - Peak Pulse (10/1000µs)"": ""2.5A (8/20µs)"", ""Power - Peak Pulse"": ""20W"", ""Power Line Protection"": ""No"", ""Applications"": ""HDMI, USB"", ""Capacitance @ Frequency"": ""0.2pF @ 1MHz"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""3-XFDFN"", ""Supplier Device Package"": ""3-X2SON (1x0.6)""}"
CAP CER 6PF 50V C0G/NP0 0603,Ceramic Capacitors,399-C0603C609C5GACAUTOCT-ND,C0603C609C5GACAUTO,KEMET,60,£0.16380,£9.83,118522807,2025-11-28T20:49:05.986Z,SMD Auto C0G,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""6 pF"", ""Tolerance"": ""±0.25pF"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""C0G, NP0"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""Low ESL"", ""Ratings"": ""AEC-Q200"", ""Applications"": ""Automotive"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""-"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CONN HEADER SMD 5POS 1MM,Rectangular Connectors,455-BM05B-SRSS-TBCT-ND,BM05B-SRSS-TB,JST Sales America Inc.,20,£0.40300,£8.06,118522807,2025-11-28T20:49:05.986Z,SH/SR,Active,Cut Tape (CT),,,,,"{""Connector Type"": ""Header"", ""Contact Type"": ""Male Pin"", ""Pitch - Mating"": ""0.039\"" (1.00mm)"", ""Number of Positions"": ""5"", ""Number of Rows"": ""1"", ""Row Spacing - Mating"": ""-"", ""Number of Positions Loaded"": ""All"", ""Style"": ""Board to Cable/Wire"", ""Shrouding"": ""Shrouded - 4 Wall"", ""Mounting Type"": ""Surface Mount"", ""Termination"": ""Solder"", ""Fastening Type"": ""Push-Pull"", ""Contact Length - Mating"": ""-"", ""Contact Length - Post"": ""-"", ""Overall Contact Length"": ""-"", ""Insulation Height"": ""0.167\"" (4.25mm)"", ""Contact Shape"": ""Square"", ""Contact Finish - Mating"": ""Tin"", ""Contact Finish Thickness - Mating"": ""-"", ""Contact Finish - Post"": ""Tin"", ""Contact Material"": ""Copper Alloy"", ""Insulation Material"": ""Polyamide (PA), Nylon"", ""Features"": ""Solder Retention"", ""Operating Temperature"": ""-25°C ~ 85°C"", ""Ingress Protection"": ""-"", ""Material Flammability Rating"": ""UL94 V-0"", ""Insulation Color"": ""Natural"", ""Current Rating (Amps)"": ""1A"", ""Voltage Rating"": ""50V"", ""Mated Stacking Heights"": ""4.9mm"", ""Contact Finish Thickness - Post"": ""-"", ""Applications"": ""-""}"
CONN HEADER SMD 2POS 2.54MM,Rectangular Connectors,SAM8979-ND,TSM-102-01-L-SV,Samtec Inc.,32,£0.25000,£8.00,118522807,2025-11-28T20:49:05.986Z,TSM,Active,Bulk,,,,,"{""Connector Type"": ""Header, Cuttable"", ""Contact Type"": ""Male Pin"", ""Pitch - Mating"": ""0.100\"" (2.54mm)"", ""Number of Positions"": ""2"", ""Number of Rows"": ""1"", ""Row Spacing - Mating"": ""-"", ""Number of Positions Loaded"": ""All"", ""Style"": ""Board to Board or Cable"", ""Shrouding"": ""Unshrouded"", ""Mounting Type"": ""Surface Mount"", ""Termination"": ""Solder"", ""Fastening Type"": ""Push-Pull"", ""Contact Length - Mating"": ""0.230\"" (5.84mm)"", ""Contact Length - Post"": ""-"", ""Overall Contact Length"": ""-"", ""Insulation Height"": ""0.100\"" (2.54mm)"", ""Contact Shape"": ""Square"", ""Contact Finish - Mating"": ""Gold"", ""Contact Finish Thickness - Mating"": ""10.0µin (0.25µm)"", ""Contact Finish - Post"": ""Tin"", ""Contact Material"": ""Phosphor Bronze"", ""Insulation Material"": ""Liquid Crystal Polymer (LCP)"", ""Features"": ""-"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Ingress Protection"": ""-"", ""Material Flammability Rating"": ""UL94 V-0"", ""Insulation Color"": ""Black"", ""Current Rating (Amps)"": ""-"", ""Voltage Rating"": ""-"", ""Mated Stacking Heights"": ""-"", ""Contact Finish Thickness - Post"": ""-"", ""Applications"": ""-""}"
FIXED IND 2.2UH 2.3A 0.082OHM SM,Fixed Inductors,490-13055-1-ND,DFE252012F-2R2M=P2,Murata Electronics,50,£0.15300,£7.65,118522807,2025-11-28T20:49:05.986Z,DFE252012F,Active,Cut Tape (CT),,,,,"{""Type"": ""Drum Core, Wirewound"", ""Material - Core"": ""Iron Powder"", ""Inductance"": ""2.2 µH"", ""Tolerance"": ""±20%"", ""Current Rating (Amps)"": ""2.3 A"", ""Current - Saturation (Isat)"": ""3.3A"", ""Shielding"": ""Shielded"", ""DC Resistance (DCR)"": ""82mOhm Max"", ""Q @ Freq"": ""-"", ""Frequency - Self Resonant"": ""-"", ""Ratings"": ""-"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Inductance Frequency - Test"": ""1 MHz"", ""Features"": ""Flat Wire"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""1008 (2520 Metric)"", ""Supplier Device Package"": ""2520"", ""Size / Dimension"": ""0.098\"" L x 0.079\"" W (2.50mm x 2.00mm)"", ""Height - Seated (Max)"": ""0.047\"" (1.20mm)""}"
IC MCU 32BIT 2MB FLASH 144LQFP,Embedded,497-STM32U585ZIT6-ND,STM32U585ZIT6,STMicroelectronics,10,£6.66800,£66.68,118522807,2025-11-28T20:49:05.986Z,STM32U5,Active,Bulk,ARM® Cortex®-M33,Cortex-M33,160MHz,2MB (2M x 8),"{""Connectivity"": ""CANbus, I2C, IrDA, LINbus, MMC/SD/SDIO, SAI, SmartCard, SPDIF, SPI, UART/USART, USB, USB OTG"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, LCD, Motor Control PWM, POR, PWM, WDT"", ""Number of I/O"": ""114"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""784K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 24x12/14b SAR; D/A 2x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""144-LQFP (20x20)"", ""Package / Case"": ""144-LQFP""}"
RES 5.1K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,311-5.10KHRCT-ND,RC0603FR-075K1L,YAGEO,200,£0.00430,£0.86,118522807,2025-11-28T20:49:05.986Z,RC_L,Active,Cut Tape (CT),,,,,"{""Resistance"": ""5.1 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Moisture Resistant"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
IC REG LINEAR 3.3V 1.2A SOT-223,Power Management (PMIC),497-17239-1-ND,LDL1117S33R,STMicroelectronics,30,£0.17120,£5.14,118522807,2025-11-28T20:49:05.986Z,-,Active,Cut Tape (CT),,,,,"{""Output Configuration"": ""Positive"", ""Output Type"": ""Fixed"", ""Number of Regulators"": ""1"", ""Voltage - Input (Max)"": ""18V"", ""Voltage - Output (Min/Fixed)"": ""3.3V"", ""Voltage - Output (Max)"": ""-"", ""Voltage Dropout (Max)"": ""0.6V @ 1.2A"", ""Current - Output"": ""1.2A"", ""Current - Quiescent (Iq)"": ""500 µA"", ""PSRR"": ""87dB ~ 65dB (120Hz ~ 100kHz)"", ""Control Features"": ""-"", ""Protection Features"": ""Over Current, Over Temperature, Under Voltage Lockout (UVLO)"", ""Operating Temperature"": ""-40°C ~ 125°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-261-4, TO-261AA"", ""Supplier Device Package"": ""SOT-223""}"
IC BATT CNTL LI-ION 1CEL SOT23-5,Power Management (PMIC),MCP73831T-2ACI/OTCT-ND,MCP73831T-2ACI/OT,Microchip Technology,25,£0.48320,£12.08,118522807,2025-11-28T20:49:05.986Z,-,Active,Cut Tape (CT),,,,,"{""Battery Chemistry"": ""Lithium Ion/Polymer"", ""Number of Cells"": ""1"", ""Current - Charging"": ""Constant - Programmable"", ""Programmable Features"": ""Current"", ""Fault Protection"": ""Over Voltage"", ""Charge Current - Max"": ""500mA"", ""Battery Pack Voltage"": ""4.2V"", ""Voltage - Supply (Max)"": ""6V"", ""Interface"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-74A, SOT-753"", ""Supplier Device Package"": ""SOT-23-5""}"
RES SMD 2K OHM 1% 1/10W 0603,Chip Resistor - Surface Mount,YAG3590CT-ND,AC0603FR-072KL,YAGEO,250,£0.00530,£1.33,118522807,2025-11-28T20:49:05.986Z,AC,Active,Cut Tape (CT),,,,,"{""Resistance"": ""2 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thick Film"", ""Features"": ""Automotive AEC-Q200, Moisture Resistant"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
PCB ADAPTER 40P FFC-THRU-HOLE,Optoelectronics Accessories,NHD-FFC40-ND,NHD-FFC40,Newhaven Display Intl,6,£8.65600,£51.94,118415956,2025-11-25T12:09:49.686Z,-,Active,Bulk,,,,,"{""Accessory Type"": ""Adapter"", ""For Use With/Related Products"": ""LCD Display""}"
PCB ADAPTER 40P FFC-THRU-HOLE,Optoelectronics Accessories,NHD-FFC40-ND,NHD-FFC40,Newhaven Display Intl,2,£9.21000,£18.42,118415956,2025-11-25T12:09:49.686Z,-,Active,Bulk,,,,,"{""Accessory Type"": ""Adapter"", ""For Use With/Related Products"": ""LCD Display""}"
STENCIL TQFP-144 .5MM,"Solder Stencils, Templates",PA0188-S-ND,PA0188-S,Chip Quik Inc.,3,£8.89000,£26.67,118415956,2025-11-25T12:09:49.686Z,Proto-Advantage PA,Active,Bulk,,,,,"{""Type"": ""TQFP"", ""Number of Positions"": ""144"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.950\"" L x 1.350\"" W (49.53mm x 34.29mm)"", ""Inner Dimension"": ""0.787\"" L x 0.787\"" W (20.00mm x 20.00mm)"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
VQFP-100/TQFP-100 STENCIL,"Solder Stencils, Templates",PA0109-S-ND,PA0109-S,Chip Quik Inc.,2,£8.89000,£17.78,118415956,2025-11-25T12:09:49.686Z,Proto-Advantage PA,Active,Bulk,,,,,"{""Type"": ""TQFP"", ""Number of Positions"": ""100"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""0.551\"" L x 0.551\"" W (14.00mm x 14.00mm)"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
