mfr_pn,dk_pn,description,qty_bought
STSAFA120DFSPL05,497-STSAFA120DFSPL05-ND,STSAFE CHIP_EA_MM,10
STM32U375VGT6Q,497-STM32U375VGT6Q-ND,ULTRA-LOW-POWER WITH FPU ARM COR,5
STM32L073RZT6TR,497-STM32L073RZT6CT-ND,IC MCU 32BIT 192KB FLASH 64LQFP,15
STM32L053R8T6TR,497-19667-1-ND,IC MCU 32BIT 64KB FLASH 64LQFP,10
1904,1528-1833-ND,EVAL BOARD FOR MCP73831,3
STSAFA120DFSPL05,497-STSAFA120DFSPL05-ND,STSAFE CHIP_EA_MM,10
M95P16-IXMNT/E,497-M95P16-IXMNT/E-ND,IC EEPROM 16MBIT SPI/QUAD 8SOIC,25
STM32C031K6T6,497-STM32C031K6T6-ND,IC MCU 32BIT 32KB FLASH 32LQFP,25
STM32G030K8T6,497-19770-ND,IC MCU 32BIT 64KB FLASH 32LQFP,25
5634,1528-5634-ND,QSPI FLASH 128MBIT W25Q128(Q),8
NHD-0420AZ-FSW-GBW-33V3,NHD-0420AZ-FSW-GBW-33V3-ND,LCD MOD 80DIG 20X4 TRANSFLCT WHT,7
8100-SMT7,438-1016-ND,ADAPTER BOARD SMT QFP100/128/144,1
BQ24155RGYR,296-27187-1-ND,IC BATT CHG LI-ION 1CELL 14VQFN,25
USB4085-GF-A,2073-USB4085-GF-ACT-ND,CONN RCPT USB2.0 TYPE C 16+8POS,25
MF-MSMF050/16X-2,118-MF-MSMF050/16X-2CT-ND,1812 RESETTABLE SMD PPTC 0.5/16V,20
B59975C0160A070,495-76405-ND,PTC RESET FUSE 20V 550MA RADIAL,10
SRV05-4,4530-SRV05-4CT-ND,TVS DIODE 5VWM 15VC SOT236L,20
TLV62569PDDCR,296-48175-1-ND,IC REG BUCK ADJ 2A SOT23,50
IHLP1616BZER2R2M5A,541-IHLP1616BZER2R2M5ACT-ND,FIXED IND 2.2UH 3.8 A 65 MOHM HI,25
TSC2013QPWRQ1,296-TSC2013QPWRQ1CT-ND,IC SCREEN CNTRL 12BIT 16TSSOP,5
STM32U575ZIT6Q,497-STM32U575ZIT6Q-ND,IC MCU 32BIT 2MB FLASH 144LQFP,10
W25Q128JVSIQ,W25Q128JVSIQ-ND,IC FLASH 128MBIT SPI/QUAD 8SOIC,10
S3A4004R0M-AI1AT,5446-S3A4004R0M-AI1ATCT-ND,MRAM MEMORY IC 4MBIT QSPI 1.8V 1,5
4830,1528-4830-ND,ADAFRUIT MPR121 12-KEY CAPACITIV,5
ESP32-C3-WROOM-02U-N4,1965-ESP32-C3-WROOM-02U-N4CT-ND,RF TXRX MOD BT WIFIU.FL SMD,5
4830,1528-4830-ND,ADAFRUIT MPR121 12-KEY CAPACITIV,6
DA14531MOD-00F01002,1695-DA14531MOD-00F01002CT-ND,RF TXRX MOD BT TH SMD,10
5397,1528-5397-ND,QT PY LIION OR LIPOLY CHARGER,5
DFR0229,1738-1038-ND,MICROSD CARD MODULE FOR ARDUINO,5
NUCLEO-U575ZI-Q,497-NUCLEO-U575ZI-Q-ND,NUCLEO-144 STM32U575ZI EVAL BRD,5
8.08.91,899-8.08.91-ND,J-LINK EDU MINI,1
3839,1528-2613-ND,BLACK MAGIC PROBE WITH JTAG CABL,1
NHD-2.4-240320AF-CTXP-T,757-NHD-2.4-240320AF-CTXP-T-ND,"GRAPHIC DISPLAY TFT BLACK 2.4""",3
NHD-3.5-320240JF-ASXP-T,1548-NHD-3.5-320240JF-ASXP-T-ND,"GRAPHIC DISPLAY TFT RGB 3.5""",1
MTCH2120-V/SO,150-MTCH2120-V/SO-ND,"12 CHANNEL TOUCH CONTROLLER, I2C",5
NUCLEO-U5A5ZJ-Q,497-NUCLEO-U5A5ZJ-Q-ND,NUCLEO-144 STM32U5A5ZJ EVAL BRD,7
MSDV-2008-AKA0T01,4294-MSDV-2008-AKA0T01-ND,CONN MICROSD CARD PCB,10
5250,1528-5250-ND,MEM CARD MICROSD 128MB CLASS 4,4
NUCLEO-U5A5ZJ-Q,497-NUCLEO-U5A5ZJ-Q-ND,NUCLEO-144 STM32U5A5ZJ EVAL BRD,3
MB85RS2MTAPNF-G-BDERE1,865-1286-1-ND,IC FRAM 2MBIT SPI 40MHZ 8SOP,5
AT24CM01-SSHD-T,AT24CM01-SSHD-TCT-ND,IC EEPROM 1MBIT I2C 1MHZ 8SOIC,10
DS2505+T&R,DS2505+T&RCT-ND,IC EPROM 16KBIT 1-WIRE TO92-3,5
AT27C010-70PU,AT27C010-70PU-ND,IC EPROM 1MBIT PARALLEL 32DIP,4
MFR-25FBF52-10K,10.0KXBK-ND,RES 10K OHM 1% 1/4W AXIAL,50
STM32U073CCT6,497-STM32U073CCT6-ND,IC MCU 32BIT 256KB FLASH 48LQFP,5
EK-10M08E144,544-3042-ND,KIT EVALUATION MAX 10 FPGA,1
ECS-327MVATX-1-CN-TR,XC3153CT-ND,XTAL OSC XO 32.768KHZ SMD,10
TEI0001-04-FBC84A,1686-TEI0001-04-FBC84A-ND,"MAX1000 - IOT MAKER BOARD, 16KLE",2
LMV358AIDR,296-47593-1-ND,IC OPAMP GP 2 CIRCUIT 8SOIC,25
LM2904DR,296-LM2904DRCT-ND,IC OPAMP GP 2 CIRCUIT 8SOIC,25
LM358LVIDR,296-51267-1-ND,IC OPAMP GP 2 CIRCUIT 8SOIC,25
TL071HIDBVR,296-TL071HIDBVRCT-ND,IC OPAMP JFET 1 CIRCUIT SOT23-5,25
RC4558DR,296-14634-1-ND,IC OPAMP GP 2 CIRCUIT 8SOIC,25
LM358BIDGKR,296-LM358BIDGKRCT-ND,IC OPAMP GP 2 CIRCUIT 8VSSOP,25
LM358LVIDR,296-51267-1-ND,IC OPAMP GP 2 CIRCUIT 8SOIC,25
LM358ADR,296-14601-1-ND,IC OPAMP GP 2 CIRCUIT 8SOIC,35
TL071HIDR,296-TL071HIDRCT-ND,IC OPAMP JFET 1 CIRCUIT 8SOIC,25
MLZ2012DR47DT000,445-180208-1-ND,FIXED IND 470NH 700MA 180MOHM SM,50
LQP03TN1N9B02D,490-12784-1-ND,FIXED IND 1.9NH 600MA 150MOHM SM,50
